id,question,answer,category,sub_category,question_type,difficulty_level,confidence,validation_score,review_status
qa_20250822_160549_e543b6b5,What is the application fee for B.Tech CSE?,"Pursue advanced education, research and development, and other creative and innovative efforts in science, engineering, and technology, as well as other professional careers. PO1 Ability to apply know...",admissions,general,factual,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_31747bf0,What is the application fee for B.Tech CSE with Minor from other Department?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,general,factual,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_6d2ddb5c,What is the application fee for B.Tech CSE Honors?,Tech CSE Honors ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credi...,admissions,general,factual,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_6066a1f0,What are the eligibility criteria for B.Tech CSE?,"Pursue advanced education, research and development, and other creative and innovative efforts in science, engineering, and technology, as well as other professional careers. PO1 Ability to apply know...",admissions,eligibility,factual,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_5802895a,What are the eligibility criteria for B.Tech CSE with Minor from other Department?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,eligibility,factual,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_a363aaa2,What are the eligibility criteria for B.Tech CSE Honors?,Tech CSE Honors ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credi...,admissions,eligibility,factual,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_aa3761e1,What entrance exams are accepted for B.Tech CSE?,"Mohan Kumar, Jetti Kumar Certified Network Forensic Professional CNS Research Group Dr K Raja Sekhar / Mr Ch. Praveen Krishna Vision Department of CSE aims to make a stance of international repute thr...",admissions,exams,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_a58d7bd5,What entrance exams are accepted for B.Tech CSE with Minor from other Department?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,exams,descriptive,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_4fe48c99,What entrance exams are accepted for B.Tech CSE Honors?,Tech CSE Honors ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credi...,admissions,exams,descriptive,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_7746aafd,How can I apply for B.Tech CSE?,"PO1 Ability to apply knowledge of Mathematics, science and Engineering PO2 Ability to identify, formulate, and solve engineering problems PO3 Ability to design a system, component or process, to meet ...",admissions,general,procedural,intermediate,0.7,0.9699999999999999,unreviewed
