page_number,page_title,categories,segment_header,segment_content,word_count,url
1,KL Deemed to be University,admissions|programs|facilities|rankings|faculty|student_life|administration,Section 1,"-------------------------------------------------------------------------------- Title of the certificate course Research Group Certificate Course Coordinator Certified Data Structures and Algorithms Programmer Foundation Level Training and Certification All RESEARCH GROUPS Mr.T.Jagadeesh,Md.AR Quadri IOS including Objective C & Swift Software Engineering(SE) J.Surya Kiran,P.Pavan Srinivas Android Application Development CNS Research Group Mr T.Sasidhar, CSE,V.Sudheeshna Data Science & Big Data ...",2075,https://kluniversity.in/physics/default.aspx
2,Campus Tour - K L Deemed to be University,rankings,Section 1,-------------------------------------------------------------------------------- Private - Self - Financed Institutions category (BAND-A) University & Deemed to be University (Private/Self Financed) (Technical). Rank -Band-Excellent Business and Economics Top General (Pvt.) Universities Top Engineering (Pvt) Colleges Top General (Pvt.) Universities Top General (Pvt.) Universities © Copyright 2022 by KLEF Deemed to be University. All Rights Reserved. National & Global Rankings QS World University...,340,https://kluniversity.in/rankings.aspx
3,KL University Admissions Open for 2025-26 - Apply Now,admissions|programs|facilities|rankings|faculty|student_life|administration,Section 1,"-------------------------------------------------------------------------------- For your security, we need to verify your identity. we have sent an OTP on registered email id and mobile number. Please enter the OTP below and proceed for password change. Admission to KL Deemed to be University is based on a valid score in either KLEEE (B.Tech), KLECET (B.Tech Lateral Entry), or KLMAT (Management), an in-house KL University entrance exam. Aside from engineering and management programs, the admiss...",1220,http://admissions.kluniversity.in/
4,Welcome to KLEF Deemed to be University,admissions|programs|facilities|rankings|faculty|student_life|administration,Section 1,"-------------------------------------------------------------------------------- Koneru Lakshmaiah Education Foundation (KLEF) is a premier educational institution that was established as KL College of Engineering in 1980-81. Recognized as a Deemed to be University by the UGC in 2009, KLEF has consistently achieved top national and international rankings and accreditations. It holds the prestigious Category I status as declared by the UGC. KLEF offers a diverse range of programs across various d...",1254,https://kluniversity.in
5,Research and Development - KLEF,rankings|faculty,Section 1,-------------------------------------------------------------------------------- Our Top ranked Researchers in World 2% Researchers Dr. Pritam Kumar Dikshit Dr. D. Venkata Ratnam Dr. J R K Kumar Dabbakuti Dr. Medikondu Nageswara Rao Dr. M. Janaki Ramaiah Combinational Analyzer Antenna Measurement Setup Abrasive Cutting Machine Tablet Disintigration Sign Language Recognition Setup Non Destructive Testing Mattelurgical Microscope Material Characterization-XRD,52,https://kluniversity.in/rnd/default.aspx
6,Sports Facilities @ KLEF,admissions|programs|facilities|rankings|student_life|administration,Section 1,-------------------------------------------------------------------------------- KL Kabaddi Premium League from 18th to 21st September 2024 National Sports Day Competitions on 29th August 2024 AP State Ranking Table Tennis Tournament from 16th to 18th August 2024 10th International Day of Yoga Celebrations on 21st June 2024. Koneru Lakshmaiah Memorial Trophy from 19th to 21st February 2024 AP State Level Volleyball Men Tournament from 14th to 15th November 2023. KL Inter University Football Leag...,6117,https://kluniversity.in/sports/default.aspx
7,KL University Admissions Open for 2025-26 - Apply Now,admissions|programs|facilities|rankings|faculty|student_life|administration,Section 1,"-------------------------------------------------------------------------------- Admission to KL Deemed to be University is based on a valid score in either KLEEE (B.Tech), KLECET (B.Tech Lateral Entry), or KLMAT (Management), an in-house KL University entrance exam. Aside from engineering and management programs, the admission process is based on merit score followed by the Personal Interview (PI) round. Everything you need to know 1. The online application form is for admission into different ...",862,https://kluniversity.in/admissions-2025/
8,KL International Relations,admissions|programs|facilities|rankings|faculty|student_life,Section 1,-------------------------------------------------------------------------------- Campuses Colleges Programs Specializations Minor Degree Programs Industry Connects across the Globe International Students International Visiting Professors Academic Partners and Collaborators Acres of Green Campuses Offered Programs International Programs Long Term Programs Integrated MS Program (3+1+1) One Year Abroad Programs (3+1) Semester Abroad Internship Abroad More Info Short Term Programs Summer Abroad Caps...,362,https://kluniversity.in/IR/default.aspx
9,Welcome to KLBS,programs|facilities|rankings|student_life|administration,Section 1,"-------------------------------------------------------------------------------- Established in the year 2006, KL Business School is one of the premier management schools in India that Blends management with technology and offers flexible learning opportunities at the undergraduate, postgraduate, and doctoral levels. With attractive features ‘credit transfer and multiple entries and exit options, we made lateral entry possible for certain eligible programs. Our curriculum is enriched with featur...",399,https://kluniversity.in/mba/default.aspx
10,Management - K L Deemed to be University,admissions|programs|facilities|rankings|faculty|student_life|administration,Section 1,"-------------------------------------------------------------------------------- Chancellor (2012-13 to 2013-14) Vice-Chancellor (2009-10 to 2011-12) Dr. G.L. Datta received education for B.Tech, M.Tech and Ph.D degrees at IIT Kharagpur, the Premier Technological Institute in the Country. He has been serving the alma mater for close to four decades as a distinguished Teacher, renowned Researcher and able Administrator. He has handled a large number of projects sponsored by the Govt of India and ...",3991,https://kluniversity.in/former_mngt.aspx
